"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BOM";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"MF";"MP";"PACKAGE";"PRICE";
"TP3";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";"";"";"";"";"";
"TP4";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";"";"";"";"";"";
"TP5";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";"";"";"";"";"";
"TP6";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";"";"";"";"";"";
"TP7";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";"";"";"";"";"";
"TP8";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";"";"";"";"";"";
"U1";"DPS3";"BMP280_COMBO";"BMX280_COMBO";"BMP280 - Digital Pressure Sensor";"";"";"";"";"";"";"";"";
"U2";"ALS-PT19";"PHOTOTRANSISTOR_PT19-315C";"ALS-PT19-315C";"ALS-PT19-315C - Analog Light Sensor";"";"";"";"";"";"";"";"";
"U3";"ESP32-S2-MODULE_WROVER";"ESP32-S2-MODULE_WROVER";"MODULE_ESP32-S2-WROVER";"WiFi 802.11b/g/n Transceiver Module 2.4GHz Antenna Not Included Surface Mount Check prices";"Warning";"";" WiFi 802.11b/g/n Transceiver Module 2.4GHz Antenna Not Included Surface Mount ";"https://snapeda.com/shop?store=DigiKey&id=4614060";"Espressif Systems";"ESP32-S2-WROVER";"VFQFN-56 Espressif Systems";"None";
"U4";"AP2112K-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";"";"";
"U5";"AHT20";"SENSOR-AHT20";"SNR6-1.0-3X3X1MM";"";"";"";"";"";"";"";"";"";
"X1";"CAPTOUCH_10MM";"CAPTOUCH_MONOPAD_6X9";"CAPTOUCH_6X9MM";"";"";"";"";"";"";"";"";"";
"X3";"CAPTOUCH_10MM";"CAPTOUCH_MONOPAD_7X9";"CAPTOUCH_7X9MM";"";"";"";"";"";"";"";"";"";
"X4";"USB C";"USB_C";"USB_C_CUSB31-CFM2AX-01-X";"USB Type-C USB 2.0 Connector";"";"";"";"";"";"";"";"";
"X5";"CAPTOUCH_10MM";"CAPTOUCH_MONOPAD_7X9";"CAPTOUCH_7X9MM";"";"";"";"";"";"";"";"";"";
"X6";"CAPTOUCH_5SLIDER_10MM";"CAPTOUCH_5SLIDER_10MM";"CAPTOUCH_5SLIDER";"";"";"";"";"";"";"";"";"";
